identifier	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_PROPN	upos_dist_SYM	upos_dist_ADP	upos_dist_DET	upos_dist_ADV	upos_dist_AUX	upos_dist_X	upos_dist_ADJ	upos_dist_NOUN	upos_dist_PRON	upos_dist_INTJ	upos_dist_CCONJ	upos_dist_NUM	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	lexical_density	verbs_mood_dist_GenPot	verbs_mood_dist_Imp	verbs_mood_dist_GenNec	verbs_mood_dist_Nec	verbs_mood_dist_CndGen	verbs_mood_dist_Ind	verbs_mood_dist_Opt	verbs_mood_dist_CndPot	verbs_mood_dist_Gen	verbs_mood_dist_Pot	verbs_mood_dist_Cnd	verbs_tense_dist_Pres	verbs_tense_dist_Past	verbs_tense_dist_Pqp	verbs_tense_dist_Fut	verbs_form_dist_Conv	verbs_form_dist_Vnoun	verbs_form_dist_Part	verbs_num_pers_dist	aux_mood_dist_CndGen	aux_mood_dist_GenPot	aux_mood_dist_Imp	aux_mood_dist_Nec	aux_mood_dist_Cnd	aux_mood_dist_Ind	aux_mood_dist_Gen	aux_tense_dist_Pres	aux_tense_dist_Pqp	aux_tense_dist_Fut	aux_tense_dist_Past	aux_form_dist_Vnoun	aux_form_dist_Conv	aux_num_pers_dist	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_aux:q	dep_dist_cc:preconj	dep_dist_case	dep_dist_nmod:poss	dep_dist_advmod	dep_dist_discourse	dep_dist_det	dep_dist_punct	dep_dist_clf	dep_dist_obj	dep_dist_dep	dep_dist_nmod	dep_dist_cop	dep_dist_nummod	dep_dist_goeswith	dep_dist_conj	dep_dist_mark	dep_dist_compound:redup	dep_dist_dislocated	dep_dist_flat	dep_dist_parataxis	dep_dist_root	dep_dist_amod	dep_dist_advcl	dep_dist_appos	dep_dist_csubj	dep_dist_ccomp	dep_dist_compound	dep_dist_advmod:emph	dep_dist_iobj	dep_dist_nsubj	dep_dist_obl	dep_dist_orphan	dep_dist_cc	dep_dist_aux	dep_dist_acl	dep_dist_fixed	dep_dist_xcomp	dep_dist_compound:lvc	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prepositional_chain_distribution	subordinate_chains_distribution	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_1	verb_edges_dist_6	verb_edges_dist_0	verb_edges_dist_5	avg_verb_edges
01004009.conllu	1	16	16.0	6.285714285714286	0	0	0	12.5	12.5	6.25	0	6.25	37.5	0	0	0	0	12.5	0	12.5	0.7857142857142857	0	0	0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	100.0	5.333333333333333	2.3846153846153846	7.0	7.0	0	0	0	0	6.25	6.25	0	12.5	12.5	0	12.5	0	0	6.25	0	0	0	0	0	0	0	0	6.25	6.25	18.75	0	0	0	0	0	0	6.25	6.25	0	0	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	50.0	0	0	0	0	50.0	0	1.0
01004017.conllu	1	16	16.0	6.733333333333333	0	0	0	6.25	0	18.75	0	12.5	43.75	0	0	0	12.5	6.25	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.333333333333336	66.66666666666667	0	100.0	0	0	0	0	100.0	0	2.0	0	8.0	1.8571428571428572	7.0	7.0	0	0	0	0	12.5	0	0	6.25	6.25	0	0	0	6.25	18.75	0	0	0	0	0	0	0	0	6.25	25.0	12.5	0	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01005023.conllu	1	16	16.0	6.5	6.25	0	0	0	0	6.25	0	6.25	37.5	0	0	0	12.5	12.5	0	18.75	0.7857142857142857	0	0	0	0	33.333333333333336	66.66666666666667	0	0	0	0	0	66.66666666666667	0	0	33.333333333333336	0	100.0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	3.0	0	5.333333333333333	2.3076923076923075	12.0	12.0	0	0	0	0	6.25	0	0	0	12.5	0	12.5	0	12.5	6.25	12.5	0	0	0	0	0	0	0	6.25	0	6.25	0	6.25	0	0	0	0	0	6.25	0	0	0	6.25	0	0	6.25	100.0	0	100.0	0	0	0	0	0	0	0	0	0	0	33.333333333333336	0	0	0	0	66.66666666666667	0	0.6666666666666666
01005024.conllu	1	26	26.0	6.761904761904762	11.538461538461538	0	0	3.8461538461538463	3.8461538461538463	0	0	11.538461538461538	26.923076923076923	0	0	3.8461538461538463	0	19.23076923076923	0	19.23076923076923	0.9047619047619048	0	0	0	0	0	100.0	0	0	0	0	0	80.0	20.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	100.0	5.2	3.4	19.0	19.0	0	0	0	0	15.384615384615385	3.8461538461538463	0	3.8461538461538463	19.23076923076923	0	11.538461538461538	0	3.8461538461538463	0	0	0	3.8461538461538463	0	0	0	3.8461538461538463	0	3.8461538461538463	7.6923076923076925	0	0	0	7.6923076923076925	0	0	0	7.6923076923076925	0	0	3.8461538461538463	0	0	0	0	3.8461538461538463	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	20.0	0	20.0	0	60.0	0	0.8
01005031.conllu	1	15	15.0	6.928571428571429	6.666666666666667	0	13.333333333333334	0	0	0	0	6.666666666666667	33.333333333333336	0	0	0	13.333333333333334	6.666666666666667	0	20.0	0.7142857142857143	0	0	0	0	0	66.66666666666667	0	0	33.333333333333336	0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	100.0	5.0	2.769230769230769	12.0	12.0	0	0	0	13.333333333333334	6.666666666666667	0	0	0	6.666666666666667	0	6.666666666666667	0	6.666666666666667	0	13.333333333333334	0	0	0	0	0	6.666666666666667	0	6.666666666666667	6.666666666666667	0	0	0	0	0	0	0	13.333333333333334	13.333333333333334	0	0	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	33.333333333333336	33.333333333333336	0	0	0	33.333333333333336	0	1.6666666666666667
01006011.conllu	1	10	10.0	7.625	0	0	0	0	0	0	0	0	70.0	0	0	0	0	20.0	0	10.0	1.0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	10.0	2.4285714285714284	7.0	7.0	0	0	0	0	10.0	0	0	0	20.0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	10.0	0	0	10.0	20.0	10.0	0	0	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01007012.conllu	1	12	12.0	6.9	0	0	0	16.666666666666668	0	0	0	8.333333333333334	41.666666666666664	0	0	8.333333333333334	0	16.666666666666668	0	8.333333333333334	0.7	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	12.0	2.7777777777777777	9.0	9.0	0	0	0	0	8.333333333333334	0	0	16.666666666666668	16.666666666666668	0	0	0	0	0	0	0	8.333333333333334	0	0	0	0	0	8.333333333333334	8.333333333333334	0	0	0	0	0	0	0	8.333333333333334	16.666666666666668	0	8.333333333333334	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01008017.conllu	1	35	35.0	6.0	8.571428571428571	0	11.428571428571429	8.571428571428571	8.571428571428571	0	0	2.857142857142857	34.285714285714285	0	0	2.857142857142857	5.714285714285714	5.714285714285714	0	11.428571428571429	0.696969696969697	0	0	0	0	0	100.0	0	0	0	0	0	25.0	25.0	25.0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	100.0	8.75	2.9375	13.0	13.0	0	0	0	11.428571428571429	17.142857142857142	5.714285714285714	0	8.571428571428571	5.714285714285714	0	0	0	0	0	2.857142857142857	0	5.714285714285714	0	0	0	5.714285714285714	0	2.857142857142857	5.714285714285714	2.857142857142857	0	0	0	2.857142857142857	2.857142857142857	0	5.714285714285714	11.428571428571429	0	2.857142857142857	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	25.0	25.0	0	25.0	25.0	2.5
01009027.conllu	1	15	15.0	5.571428571428571	6.666666666666667	0	0	6.666666666666667	20.0	6.666666666666667	0	13.333333333333334	20.0	6.666666666666667	0	0	0	6.666666666666667	0	13.333333333333334	0.7857142857142857	50.0	0	0	0	0	50.0	0	0	0	0	0	50.0	50.0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	0	0	2.0	100.0	7.5	3.1538461538461537	6.0	6.0	0	0	0	0	0	13.333333333333334	0	6.666666666666667	6.666666666666667	0	6.666666666666667	0	0	0	0	0	6.666666666666667	0	0	0	0	0	6.666666666666667	13.333333333333334	0	0	0	0	6.666666666666667	0	0	13.333333333333334	6.666666666666667	0	6.666666666666667	6.666666666666667	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01009054.conllu	1	23	23.0	5.7368421052631575	4.3478260869565215	0	13.043478260869565	4.3478260869565215	4.3478260869565215	4.3478260869565215	0	0	34.78260869565217	0	0	0	4.3478260869565215	17.391304347826086	0	13.043478260869565	0.6842105263157895	0	0	0	0	0	100.0	0	0	0	0	0	33.333333333333336	66.66666666666667	0	0	0	100.0	0	0	0	0	0	0	0	100.0	0	100.0	0	0	0	100.0	0	0	4.0	100.0	5.75	3.5	21.0	21.0	0	0	0	13.043478260869565	4.3478260869565215	0	0	4.3478260869565215	17.391304347826086	4.3478260869565215	8.695652173913043	0	0	4.3478260869565215	4.3478260869565215	0	0	0	0	0	0	0	4.3478260869565215	4.3478260869565215	0	0	0	4.3478260869565215	0	4.3478260869565215	0	8.695652173913043	4.3478260869565215	0	0	0	0	0	8.695652173913043	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	33.333333333333336	0	0	0	33.333333333333336	33.333333333333336	0	2.6666666666666665
01010042.conllu	1	11	11.0	6.3	9.090909090909092	0	0	9.090909090909092	0	0	0	0	54.54545454545455	0	0	0	0	9.090909090909092	0	18.181818181818183	0.9	0	0	0	0	0	100.0	0	0	0	0	0	50.0	50.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	5.5	2.4444444444444446	9.0	9.0	0	0	0	0	0	0	0	9.090909090909092	9.090909090909092	0	9.090909090909092	0	0	0	0	0	0	0	0	0	9.090909090909092	0	9.090909090909092	0	0	0	9.090909090909092	0	0	0	0	9.090909090909092	9.090909090909092	0	0	0	0	0	18.181818181818183	9.090909090909092	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01011004.conllu	1	10	10.0	6.555555555555555	0	0	10.0	0	0	0	0	10.0	40.0	0	0	0	10.0	10.0	0	20.0	0.7777777777777778	0	0	0	0	0	100.0	0	0	0	0	0	50.0	50.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	5.0	1.875	7.0	7.0	0	0	0	10.0	0	0	0	0	10.0	0	30.0	0	0	0	10.0	0	0	0	0	0	0	0	10.0	20.0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	50.0	0	50.0	0	0.5
01011011.conllu	1	25	25.0	5.9523809523809526	12.0	0	4.0	0	8.0	0	0	4.0	36.0	4.0	0	0	0	16.0	0	16.0	0.9047619047619048	0	0	0	0	0	100.0	0	0	0	0	0	50.0	50.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	100.0	6.25	3.4	23.0	23.0	0	0	0	4.0	16.0	0	0	0	16.0	0	12.0	0	0	0	0	0	0	0	0	0	8.0	0	4.0	4.0	8.0	4.0	0	4.0	0	4.0	0	4.0	12.0	0	0	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	25.0	75.0	0	1.5
01011017.conllu	1	11	11.0	5.666666666666667	0	0	0	9.090909090909092	9.090909090909092	0	0	0	18.181818181818183	18.181818181818183	0	0	0	18.181818181818183	0	27.272727272727273	0.6666666666666666	0	0	0	0	0	50.0	0	0	50.0	0	0	33.333333333333336	33.333333333333336	0	33.333333333333336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	3.6666666666666665	2.0	4.0	4.0	0	0	0	0	0	9.090909090909092	0	9.090909090909092	18.181818181818183	0	0	0	0	0	0	0	9.090909090909092	0	0	0	0	0	9.090909090909092	0	0	0	0	9.090909090909092	9.090909090909092	0	0	9.090909090909092	18.181818181818183	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.333333333333336	0	33.333333333333336	0	33.333333333333336	0	1.3333333333333333
01012003.conllu	1	12	12.0	6.3	8.333333333333334	0	0	8.333333333333334	16.666666666666668	0	0	0	16.666666666666668	16.666666666666668	0	0	0	16.666666666666668	0	16.666666666666668	0.7	0	0	0	0	0	100.0	0	0	0	0	0	50.0	50.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	6.0	2.5555555555555554	7.0	7.0	0	0	0	0	16.666666666666668	16.666666666666668	0	8.333333333333334	16.666666666666668	0	0	0	8.333333333333334	0	0	0	8.333333333333334	0	0	0	0	0	8.333333333333334	0	0	0	0	0	0	0	0	8.333333333333334	0	0	0	0	0	0	8.333333333333334	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	50.0	2.5
01013005.conllu	1	16	16.0	6.5	6.25	0	12.5	6.25	0	0	0	6.25	43.75	0	0	0	0	12.5	0	12.5	0.7857142857142857	0	0	0	0	0	100.0	0	0	0	0	0	50.0	50.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	8.0	2.923076923076923	13.0	13.0	0	0	0	12.5	12.5	0	0	6.25	12.5	0	12.5	0	6.25	0	0	0	0	0	0	0	0	0	6.25	6.25	6.25	0	0	0	0	0	0	6.25	12.5	0	0	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	50.0	0	0	0	50.0	0	1.5
01014003.conllu	1	22	22.0	7.3	9.090909090909092	0	4.545454545454546	0	0	4.545454545454546	0	13.636363636363637	31.818181818181817	0	0	4.545454545454546	4.545454545454546	9.090909090909092	0	18.181818181818183	0.8	0	0	0	0	0	100.0	0	0	0	0	0	75.0	25.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	100.0	4.4	4.052631578947368	20.0	20.0	0	0	0	4.545454545454546	18.181818181818183	0	0	0	9.090909090909092	0	4.545454545454546	0	0	4.545454545454546	0	0	4.545454545454546	0	0	0	4.545454545454546	0	4.545454545454546	13.636363636363637	0	0	0	9.090909090909092	0	0	0	13.636363636363637	4.545454545454546	0	4.545454545454546	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	25.0	25.0	0	25.0	0	25.0	0	1.5
01014012.conllu	1	20	20.0	6.842105263157895	10.0	0	10.0	0	0	0	0	5.0	60.0	0	0	0	0	5.0	0	10.0	0.8947368421052632	0	0	0	0	0	100.0	0	0	0	0	0	0	50.0	0	50.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	10.0	2.1666666666666665	7.0	7.0	0	0	0	10.0	30.0	0	0	0	5.0	0	5.0	0	0	0	0	0	0	0	0	0	5.0	0	5.0	10.0	0	0	0	0	10.0	0	0	5.0	10.0	0	0	0	5.0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	50.0	0	0	0	0	50.0	0	1.0
01015033.conllu	1	20	20.0	5.368421052631579	0	0	0	15.0	20.0	5.0	0	5.0	40.0	0	0	0	0	5.0	0	10.0	0.7894736842105263	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	100.0	6.666666666666667	3.5555555555555554	17.0	17.0	0	0	0	0	10.0	15.0	0	15.0	5.0	0	5.0	0	0	5.0	0	0	0	0	0	0	0	0	5.0	5.0	10.0	0	0	0	0	0	0	10.0	10.0	0	0	0	5.0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
